ID,ESTIMATIVA,RESPOSTA,ERRO,ERRO_ACEITAVEL,ERRO < ERRO_ACEITAVEL,EPS,DELTA,SOMA_PESOS,T,K,TIME,,,"0,01",,DELTA,EPS
4,1118191,0,1118191,4296695,TRUE,"0,2","0,05",21483478,3,10,"5,71797",,,"0,05",,"0,05","0,2"
5,1117249,0,1117249,4296695,TRUE,"0,2","0,05",21483478,3,10,"5,71797",,,"0,06",,"0,05","0,2"
1,1110845,0,1110845,4296695,TRUE,"0,2","0,06",21483478,3,10,"5,71631",,,"0,06",,"0,06","0,2"
2,1110686,0,1110686,4296695,TRUE,"0,2","0,06",21483478,3,10,"5,71632",,,"0,06",,"0,06","0,2"
3,1110011,0,1110011,4296695,TRUE,"0,2","0,06",21483478,3,10,"5,71633",,,"0,06",,"0,06","0,2"
4,1110011,0,1110011,4296695,TRUE,"0,2","0,06",21483478,3,10,"5,71633",,,"0,06",,"0,06","0,2"
5,1107216,0,1107216,4296695,TRUE,"0,2","0,06",21483478,3,10,"5,71633",,,"0,07",,"0,06","0,2"
1,1115599,0,1115599,4296695,TRUE,"0,2","0,07",21483478,3,10,"5,71658",,,"0,07",,"0,07","0,2"
2,1121955,0,1121955,4296695,TRUE,"0,2","0,07",21483478,3,10,"5,71659",,,"0,07",,"0,07","0,2"
3,1120638,0,1120638,4296695,TRUE,"0,2","0,07",21483478,3,10,"5,71659",,,"0,07",,"0,07","0,2"
4,1111055,0,1111055,4296695,TRUE,"0,2","0,07",21483478,3,10,"5,71659",,,"0,07",,"0,07","0,2"
5,1116687,0,1116687,4296695,TRUE,"0,2","0,07",21483478,3,10,"5,7166",,,"0,08",,"0,07","0,2"
1,1113210,0,1113210,4296695,TRUE,"0,2","0,08",21483478,3,10,"5,71881",,,"0,08",,"0,08","0,2"
2,1109946,0,1109946,4296695,TRUE,"0,2","0,08",21483478,3,10,"5,71882",,,"0,08",,"0,08","0,2"
3,1115862,0,1115862,4296695,TRUE,"0,2","0,08",21483478,3,10,"5,71883",,,"0,08",,"0,08","0,2"
4,1113008,0,1113008,4296695,TRUE,"0,2","0,08",21483478,3,10,"5,71883",,,"0,08",,"0,08","0,2"
5,1109946,0,1109946,4296695,TRUE,"0,2","0,08",21483478,3,10,"5,71883",,,"0,09",,"0,08","0,2"
1,1116103,0,1116103,4296695,TRUE,"0,2","0,09",21483478,3,10,"5,72257",,,"0,09",,"0,09","0,2"
2,1117605,0,1117605,4296695,TRUE,"0,2","0,09",21483478,3,10,"5,72258",,,"0,09",,"0,09","0,2"
3,1122082,0,1122082,4296695,TRUE,"0,2","0,09",21483478,3,10,"5,72258",,,"0,09",,"0,09","0,2"
4,1120047,0,1120047,4296695,TRUE,"0,2","0,09",21483478,3,10,"5,72258",,,"0,09",,"0,09","0,2"
5,1119998,0,1119998,4296695,TRUE,"0,2","0,09",21483478,3,10,"5,72259",,,"0,1",,"0,09","0,2"
1,1115340,0,1115340,4296695,TRUE,"0,2","0,1",21483478,3,10,"5,71542",,,"0,1",,"0,1","0,2"
2,1110992,0,1110992,4296695,TRUE,"0,2","0,1",21483478,3,10,"5,71544",,,"0,1",,"0,1","0,2"
3,1110992,0,1110992,4296695,TRUE,"0,2","0,1",21483478,3,10,"5,71544",,,"0,1",,"0,1","0,2"
4,1117713,0,1117713,4296695,TRUE,"0,2","0,1",21483478,3,10,"5,71544",,,"0,1",,"0,1","0,2"
5,1119114,0,1119114,4296695,TRUE,"0,2","0,1",21483478,3,10,"5,71544",,,,,"0,1","0,2"
